by,descendants,id,score,time,title,type,url,text,domain
_query,36,23610527,172,1592893984,"Show HN: IHP, a batteries-included web framework built on Haskell and Nix",story,https://ihp.digitallyinduced.com/,,ihp.digitallyinduced.com
pusv,3,23611565,28,1592903808,"Show HN: Learn Regular Expressions with simple, interactive exercises",story,https://regexone.com/,,regexone.com
mithunshanbhag,1,23612077,12,1592908283,"Show HN: cloudskew.com – draw AWS, Azure, GCP, K8s diagrams for free",story,https://www.cloudskew.com/,,cloudskew.com
joelS,1,23611157,20,1592899951,Show HN: Antimander – Optimize Congressional Districts with Genetic Algorithms,story,https://antimander.org/,,antimander.org
alcover,0,23612451,2,1592911172,Show HN: Runc – Compile and run C in one command,story,https://github.com/alcover/runc,,github.com
macroservices,0,23611604,7,1592904193,"Show HN: Choral, a Java-compatible language for type-safe multiparty protocols",story,https://choral-lang.org,,choral-lang.org
mongojunction,8,23609046,12,1592875776,"Show HN: Node.js CRUD template with users, password resets and permissions",story,https://github.com/cris691/servedata,,github.com
chr15m,0,23611505,4,1592903120,"Show HN: Slingcode live-reloading web IDE to make, run, and share web apps P2P",story,https://slingcode.net/,,slingcode.net
Oeck,3,23608552,19,1592871546,"Show HN: VPN with automatic region routing, port-forwarding and custom filtering",story,https://www.oeck.com,,oeck.com
patrickz,0,23611191,2,1592900202,Show HN: Create a quick JSON API in less than 10 seconds,story,https://jsonman.bakchoi.com/?href=hn8,,jsonman.bakchoi.com
lihorne,89,23602008,195,1592842988,Show HN: Web3Torrent – Adding Ethereum Micropayments to WebTorrent,story,https://blog.statechannels.org/introducing-web3torrent/,,statechannels.org
XAMPPRocky,2,23599316,17,1592827861,Show HN: Tokei 12 – A fast and accurate code analysis tool,story,https://github.com/XAMPPRocky/tokei/releases/tag/v12.0.0,,github.com
atum47,11,23588854,18,1592702026,Show HN: I made a small village using my JavaScript WebGL 3D engine [video],story,https://www.youtube.com/watch?v=w13Q_KL1I9A,,youtube.com
whytheplatypus,33,23599007,89,1592824398,Show HN: Switchboard – A mDNS based reverse proxy for personal infrastructure,story,https://github.com/whytheplatypus/switchboard,,github.com
losteden1,30,23600645,60,1592836605,"Show HN: Generate Visual Sitemap from sitemap.xml, just write URL",story,https://octopus.do/sitemap/resource/generator,,octopus.do
kjhitcher,0,23610144,6,1592889272,Show HN: Swift 5 programming playground in browser,story,http://bananaide.com/,,bananaide.com
besart_hoxhaj,0,23608091,6,1592867891,"Show HN: Tendies – My free, simple, stock screener",story,https://tendies.co.uk,,tendies.co.uk
gingahbread31,3,23598094,17,1592812282,"Show HN: Quickly search, build and share AI models",story,https://www.picsellia.com,,picsellia.com
brugeman,11,23598087,26,1592812196,Show HN: InboxFee – make strangers pay for their cold emails,story,https://inboxfee.com,,inboxfee.com
ttalvitie,29,23595430,189,1592773779,Show HN: Browservice – Browse the modern web on historical browsers,story,https://github.com/ttalvitie/browservice,,github.com
smashah,2,23598631,19,1592819340,Show HN: A fully automated AdGuard blocklist repo,story,https://github.com/smashah/smashblock,,github.com
jimmyechan,1,23602637,17,1592845402,Show HN: Dropbase – Turn your CSV files into live databases in seconds,story,https://dropbase.castodia.com,,dropbase.castodia.com
gioscarab,16,23591953,328,1592746773,Show HN: PJDL an open alternative to 1-wire with a range of 2000m,story,https://github.com/gioblu/PJON/tree/master/src/strategies/SoftwareBitBang,,github.com
yz-yu,2,23598192,13,1592813685,Show HN: Syncit - An open source privacy-first co-browsing Tool,story,https://syncit.luckid.io/,,syncit.luckid.io
edwardc,50,23591590,144,1592741685,Show HN: Random Roads,story,https://random-roads--edwardcunningh2.repl.co,,random-roads--edwardcunningh2.repl.co
giangnguyen,1,23604625,4,1592853011,Show HN: NavNav – Curated UI Examples,story,https://navnav.co/,,navnav.co
boraturant,0,23604253,6,1592852122,Show HN: Animate anyone with your facial expression,story,https://alvin5.com/create,,alvin5.com
hiroagustin,1,23606480,3,1592859201,"Show HN: Modern, modular, extensible CSS button library – knopf.css",story,https://knopf.dev/,,knopf.dev
ddevault,0,23599757,30,1592831427,Show HN: The Bare Message Encoding,story,https://drewdevault.com/2020/06/21/BARE-message-encoding.html,,drewdevault.com
UC_Consultant,1,23603919,3,1592850989,"Show HN: Free, high quality slide templates – 1 new set every week",story,http://slidegame.io,,slidegame.io
